"id","country","type","revenue","ProductServices"
"Farrell Group","Oceanus","Entity.Organization.Company",5006.67,"Unknown"
"Farrell PLC","Imazam","Entity.Organization.FishingCompany",37866.67,"Seafood products"
"Farrell, Page and Wong","Oceanus","Entity.Organization.Company",10720.28,"Unknown"
"Farrell-Little","Oceanus","Entity.Organization.Company",39391.01,"Provision of die casting and plating services for telecommunications, marine, military and automotive products"
"Farrell-Stewart","Naraliket","Entity.Organization.Company",32195.46,"Food products"
"Faulkner, Schmidt and Wheeler","Oceanus","Entity.Organization.Company",18766.67,"Adhesive and sealants based on polyurethane"
"Faulkner, Shaffer and Moyer","Oceanus","Entity.Organization.FishingCompany",14666.67,"Offers pasteurized blue and red crab meat, and other seafood products, including crab cake, finfish, and wakami salad"
"Ferguson Group","Oceanus","Entity.Organization.Company",5477.68,"Unknown"
"Ferguson Inc","Mawalara","Entity.Organization.LogisticsCompany",13376.67,"Sun shade sail, sun shade net, safety netdebris net, scaffolding net, anti-insect net, anti-wind net, anti-bird net, anti-dust net, windbreaks net olive net, ground coverweed-control mat, anti-hail net, pond cover net, window screen net, garden privacy screen, balcony screen, veranda fence, sports net, trampoline net, PVC mesh, lumber tarp, steel tarp, trailer tarp, truck tarp, dump tarp, multi-mesh tarp, knitted economy mesh tarp, garage floor mat, cargo net, silo bag, and sand bag"
"Ferguson LLC","Oceanus","Entity.Organization.Company",5286.67,"Unknown"
"Ferguson and Sons","Oceanus","Entity.Organization.Company",35775.53,"Recycling machineries"
"Ferguson, Buckley and Carpenter","Mawalara","Entity.Organization.Company",8826.67,"Unknown"
"Ferguson, Walker and Martinez","Oceanus","Entity.Organization.Company",4746.67,"Unknown"
"Ferguson-Brown","Mawalara","Entity.Organization.Company",56766.67,"Spray pumps and bottles for cosmetic and pharmaceutical packaging"
"Ferguson-Holmes","Oceanus","Entity.Organization.Company",40152.33,"Food products"
"Ferguson-Smith","Oceanus","Entity.Organization.Company",51023.15,"Food and non-food products"
"Ferguson-Suarez","Uzifrica","Entity.Organization.Company",40446.52,"MDI polyurethane one component(moisture curing) and two component adhesives, polyurethane binders, coatings, polyurethane reactive (PUR) hotmelts, and insulated foam systems"
"Fernandez Group","Oceanus","Entity.Organization.Company",5296.67,"Unknown"
"Fernandez Inc","Andenovia","Entity.Organization.LogisticsCompany",65500.09,"Production, preparation, and distribution of a range of meat, seafood, poultry and ready meals; and provision of food services"
"Fernandez, Flores and Fowler","Novarctica","Entity.Organization.Company",27655.64,"Copper moulds for the continuous casting of steel"
"Fernandez, Johnson and Nicholson","Uzifrica","Entity.Organization.Company",61582.32,"Textile machinery and equipment, as well as its parts and accessories"
"Fernandez, Newman and Wall","Oceanus","Entity.Organization.Company",5079.82,"Unknown"
"Fernandez, Reynolds and Williams","Galduzim","Entity.Organization.Company",157971.69,"Smoked fish, such as portions, slices, salads, and fillets; marinated and salted fish, including flaps, sauces, rolls, and rollmops; canned fish, such as herrings and sprats; and others products, including salmon paste and salads"
"Fernandez-Collier","Mawalara","Entity.Organization.Company",22584.66,"Construction machinery NC steel bending machines, high intension steel straightening cutting machines, CNC, railway non-standard equipment; railway locomotive and rolling stock parts, hinge beam of artificial diamond press and parts of railway, wind power, mine machines"
"Fernandez-English","Oceanus","Entity.Organization.Company",5544.44,"Unknown"
"Fernandez-Hall","Novarctica","Entity.Organization.Company",103930.35,"Food products"
"Fernandez-Williams","Novarctica","Entity.Organization.Company",6896.67,"Leather shoes, rubber sports shoes, pumps, plastic footwear, casual and work shoes, sandals and flip flops, boots and other protective footwear"
"Ferrell PLC","Mawalara","Entity.Organization.Company",75254.26,"Fish and fish products"
"Fields Group","Oceanus","Entity.Organization.Company",26746.76,"Footwear"
"Fields Ltd","Mawalara","Entity.Organization.Company",8216.67,"Unknown"
"Fields, Evans and Cooper","Mawalara","Entity.Organization.Company",7962.82,"Producing and supplying a range of products, such as engineered flooring, embossed fancy plywood, and unfinished and UV bedboard panels (red oak, birch, and pine)"
"Fields, Holmes and Weber","Oceanus","Entity.Organization.Company",15966.67,"Zinc and aluminum die cast parts"
"Fields-Morgan","Azurionix","Entity.Organization.Company",39666.67,"Fish and fish products"
"Figueroa LLC","Oceanus","Entity.Organization.Company",10556.67,"Unknown"
"Figueroa and Sons","Mawalara","Entity.Organization.Company",22656.53,"A range of oceanic aquatic products, oceanic bio-health food products, dairy products, and fruits and vegetables"
"Figueroa-Blair","Khamposa","Entity.Organization.Company",5179.65,"Unknown"
"Figueroa-Stanley","Imazam","Entity.Organization.Company",6991.96,"Unknown"
"Figueroa-Wise","Rosvandor","Entity.Organization.Company",161982.47,"Feeder tubes; orifice rings; refractory plungers; rotor segments; feeder compositions; high speed squeeze tester; triple inspection machine; drive systems; anti-dither optical line; by-pass conveyor; metering spout; flex pressure system"
"Finley-Wiley","Oceanus","Entity.Organization.Company",4736.67,"Unknown"
"Fischer Group","Mawalara","Entity.Organization.Company",6602.97,"Unknown"
"Fischer Inc","Mawalara","Entity.Organization.Company",48531.96,"Fabrics and apparel products"
"Fischer Ltd","Oceanus","Entity.Organization.Company",10756.67,"Unknown"
"Fischer, Anderson and Obrien","Novarctica","Entity.Organization.Company",34628.49,"Adhesives, sealants, adhesive paste and additives for the building sector, trade and tiling accessories"
"Fischer, Durham and Miller","Oceanus","Entity.Organization.Company",7175.67,"Unknown"
"Fischer, Price and Bradshaw","Naraliket","Entity.Organization.Company",11096.67,"Art materials; Toys; Stationery products"
"Fischer-Chung","Oceanus","Entity.Organization.Company",6936.67,"Unknown"
"Fischer-Cowan","Mawalara","Entity.Organization.Company",8136.67,"Unknown"
"Fischer-Powell","Naraliket","Entity.Organization.Company",5336.67,"Unknown"
"Fisher Inc","Oceanus","Entity.Organization.Company",5196.67,"Unknown"
"Fisher LLC","Oceanus","Entity.Organization.Company",16877.4,"Unknown"
"Fisher PLC","Mawandia","Entity.Organization.Company",377669.38,"Entrusted procurement and sale of aircraft, aircraft components, airport facility equipment, uniforms, duty-free products and in-flight goods, as well as the aircraft leasing business for training purpose"
"Fisher, Cannon and Gray","Mawalara","Entity.Organization.Company",8053.1,"Unknown"
"Fisher, Cochran and Reilly","Oceanus","Entity.Organization.Company",14866.67,"Unknown"
"Fisher, Jacobs and Woods","Oceanus","Entity.Organization.Company",14359.06,"Unknown"
"Fisher, Mueller and Mitchell","Oceanus","Entity.Organization.Company",16707.1,"Extendospheres; Solid Ceramic Spheres - Solospheres; Synthetic Spheres; Extendospheres HB-Series Hollow Spheres; and XOL Series Spheres"
"Fisher, Perez and Pham","Jiraputra","Entity.Organization.Company",33308.68,"Specialises in a wide selection of packaged frozen food, dairy products, poultry products, fish and seafood, meat products, and fresh fruits and vegetables, and other dry goods; Offers coffee and tea, mineral water and soft drink; Covers cereals, spices, canned fruits, vegetables, mushrooms and sea salt; cocoa, chocolate, and confectionary products; and fruit and vegetable juice"
"Fisher, Woods and Kirby","Osterivaria","Entity.Organization.Company",5576.67,"Unknown"
"Fisher-Marsh","Oceanus","Entity.Organization.Company",14016.67,"Unknown"
"Fitzgerald LLC","Oceanus","Entity.Organization.FishingCompany",31565.86,"Fresh and processed meats (beef, lamb, pork, veal, poultry, and seafood)"
"Fitzgerald-Allen","Novarctica","Entity.Organization.Company",383367.67,"Electrical steel laminations and stacks for electric machines, carbide lamination dies, die-casting moulds, and alternator stator cores"
"Fitzgerald-Brewer","Oceanus","Entity.Organization.Company",21597.89,"Woven and webbing promotional products"
"Fitzgerald-Snyder","Mawalara","Entity.Organization.Company",4666.67,"General merchandise and other related consumer products"
"Fitzpatrick Group","Oceanus","Entity.Organization.Company",9746.67,"Unknown"
"Fitzpatrick, Harris and Burton","Novarctica","Entity.Organization.Company",5026.67,"Unknown"
"Fitzpatrick, Harris and Wolf","Oceanus","Entity.Organization.Company",6288.44,"Unknown"
"Fleming, Freeman and Ramos","Oceanus","Entity.Organization.Company",5293.4,"Unknown"
"Fleming, Jones and Harvey","Oceanus","Entity.Organization.FishingCompany",40401.84,"Seafood products"
"Fleming, Mcdonald and Lee","Mawalara","Entity.Organization.Company",26450.87,"Footwear (career footwear, tailored shoes, sandals, athletic shoes, outdoor footwear, casual daywear, weekend casual, casual booties, tall-shafted boots, dress shoes, special occasion shoes, and dress booties)"
"Fleming-Hess","Uzifrica","Entity.Organization.FishingCompany",20609.82,"Seafood and vegetables"
"Fleming-Jones","Naraliket","Entity.Organization.Company",12180.33,"Footwear for men, women, and children"
"Fleming-Martinez","Oceanus","Entity.Organization.Company",11472.58,"Unknown"
"Fleming-Russell","Imazam","Entity.Organization.Company",64166.67,"Unknown"
"Fletcher, Martin and Padilla","Imazam","Entity.Organization.Company",35368.19,"Leather cases and bags as well as other fashion apparels"
"Fletcher-Garcia","Lumakari","Entity.Organization.Company",95229.06,"Metal stampings"
"Fletcher-Nelson","Lumakari","Entity.Organization.Company",43466.67,"Specialized in processing soya sauce, bean paste, and hot bean paste"
"Fletcher-Price","Novarctica","Entity.Organization.Company",10601,"Unknown"
"Fletcher-Robertson","Vesperlandia","Entity.Organization.Company",483012.3,"Cosmetic, personal care, hand and face care, baby care, and cleaning products"
"Flores Group","Oceanus","Entity.Organization.Company",15966.67,"Unknown"
"Flores LLC","Oceanus","Entity.Organization.Company",16485.71,"Unknown"
"Flores Ltd","Oceanus","Entity.Organization.FishingCompany",26566.67,"Fresh pork and lamb meat; Smoked and cured meats, seafood, sausage, custom-cut meats, as well as specialty meat such as venison, and frozen portion-controlled products"
"Flores and Sons","Korvelonia","Entity.Organization.Company",163879.37,"Tuna, Tuna Light, Bonito-Specialties-Isabel Salads, and Prepared Dishes"
"Flores, Crawford and Davis","Naraliket","Entity.Organization.Company",337126.02,"Beef and beef by-products"
"Flores, Johnson and Alexander","Oceanus","Entity.Organization.Company",11427.51,"Unknown"
"Flores, Miller and Harrell","Mawalara","Entity.Organization.Company",4673.29,"Unknown"
"Flores, Olson and Brown","Oceanus","Entity.Organization.FishingCompany",11556.67,"Fresh and frozen seafood, shellfish, and exotic fish"
"Flores, Peterson and Williams","Faraluna","Entity.Organization.Company",16556.85,"Unknown"
"Flores, Robinson and Jimenez","Mawalara","Entity.Organization.Company",77166.67,"Offers a wide range of products that include industrial cleaners, paint booth chemistry products, pre-treatments, food and dairy products, metalworking lubricants and coolants, specialty chemicals, pulp and paper chemicals, plastics, janitorial products, water treatment chemicals and other related products"
"Flores, Shaw and Barker","Oceanus","Entity.Organization.Company",5636.67,"Unknown"
"Flores-Brown","Oceanus","Entity.Organization.Company",42822.58,"Unknown"
"Flores-Chapman","Mawalara","Entity.Organization.LogisticsCompany",238643.26,"Specialises in the wholesale distribution of piece goods, fabrics, knitting yarns, thread and other notions, and accessories; Offers the preparation, weaving, knitting, finishing, and fabrication of fabric products; Encompass basic alterations, hemming, taking in or letting out, as well as lengthening and shortening services"
"Flores-Cox","Marifada","Entity.Organization.Company",15966.67,"Unknown"
"Flores-Grant","Isla Solmar","Entity.Organization.Company",18866.67,"Special coatings and paints"
"Flores-Reynolds","Uzifrica","Entity.Organization.Company",431569.55,"Fishes, clams, crabs, lobsters, mussels, oysters, sea urchins, shrimp and other related marine products"
"Flores-Wallace","Oceanus","Entity.Organization.FishingCompany",75995.95,"Meat, poultry and seafood products"
"Flores-White","Oceanus","Entity.Organization.FishingCompany",15066.67,"Injection, marinades, and dips for better color, yields and shelf-life in beef, pork, poultry, and seafood [source: freelance researcher]"
"FlounderLeska Marine BV","Oceanus","Entity.Organization.FishingCompany",8424.27,"Albacore, Alfonsino, Barramundi, Bass, Black Cod, Blue Cod, Bluenose, Caviar, Flounder, Groper, Gurnard, John Dory, Kingfish, Ling  Kingclip, Lobster, Mahi, Ocean Trout, Opah  Moonfish, Tuna"
"Flowers PLC","Oceanus","Entity.Organization.Company",16466.67,"Unknown"
"Flowers and Sons","Novarctica","Entity.Organization.Company",540656.43,"Specialty chemicals"
"Flowers, Berry and Ramirez","Oceanus","Entity.Organization.Company",4746.67,"Unknown"
"Flowers-Rivera","Lumakari","Entity.Organization.Company",13156.67,"Unknown"
"Floyd LLC","Oceanus","Entity.Organization.Company",5946.67,"Unknown"
"Floyd, Boyd and Browning","Oceanus","Entity.Organization.Company",21966.67,"Development, design and production of dated goods and stationery products, including wall calendars and planners"
"Floyd-Cantu","Oceanus","Entity.Organization.FishingCompany",13031.67,"Seafood and other aquatic products"
"Floyd-Conner","Azurionix","Entity.Organization.Company",11467.67,"Ladies casual sleeper; designer flat footwear; ladies casual slipper"
"Floyd-Kelly","Oceanus","Entity.Organization.Company",14300.92,"Unknown"
"Flynn LLC","Oceanus","Entity.Organization.FishingCompany",17166.67,"Finest frozen seafood"
"Flynn, Garcia and Gilmore","Mawandia","Entity.Organization.Company",8466.67,"Unknown"
"Flynn, Taylor and Roberts","Thessalandia","Entity.Organization.Company",662607.56,"Cast and fabricated iron and steel products"
"Foley, Beck and Richards","Oceanus","Entity.Organization.Company",12005.11,"Unknown"
"Foley, Carter and Brown","Mawalara","Entity.Organization.Company",5096.67,"Unknown"
"Foley, Ibarra and Daniel","Quornova","Entity.Organization.Company",5166.67,"Unknown"
"Foley-Martinez","Uzifrica","Entity.Organization.Company",16766.67,"Engines and turbines"
"Foley-Miranda","Faraluna","Entity.Organization.FishingCompany",5166.67,"Frozen seafood products (breaded and battered, cooked vannamei shrimp, dim sum, and raw vannamei shrimp)"
"Forbes-Cortez","Oceanus","Entity.Organization.Company",5636.67,"Unknown"
"Ford Ltd","Imazam","Entity.Organization.Company",7074.93,"Unknown"
"Ford PLC","Naraliket","Entity.Organization.Company",12396.67,"Customs jewelry on-line inspection, Office Production Engineering, Sourcing, etc, On-line Inspection of Metal products, Merchandising, Sales & Marketing, Inspection, Quality Control, Quality Control and Inspection"
"Ford and Sons","Oceanus","Entity.Organization.Company",11613.49,"Corrosion resistant products"
"Ford, Armstrong and Carroll","Oceanus","Entity.Organization.Company",138361.26,"Renewable energy; solar energy equipment"
"Ford, Jordan and Garcia","Oceanus","Entity.Organization.Company",5106.67,"Unknown"
"Ford, Parsons and Garcia","Imazam","Entity.Organization.Company",64752.89,"An extensive range of canned tuna, frozen tuna loins and other related canned fish products"
"Ford, Randall and Spence","Kondanovia","Entity.Organization.Company",158489.33,"Carpets and rugs"
"Ford, Stevens and Sharp","Rosvandor","Entity.Organization.LogisticsCompany",99837.59,"Logistics services (transports LTL freight, such as pallets, crates, entire machines, or components; consolidated freight; and partial and full truck loads; food, air and sea, chemicals, do-it-yourself, cargo, business-to-consumer, information, contract, and project logistics, as well as foreign trade compliance and warehousing services)"
"Ford-Brown","Arreciviento","Entity.Organization.Company",66149.92,"Of frozen Asian food delicacies"
"Ford-Chavez","Isla Solmar","Entity.Organization.LogisticsCompany",90966.67,"General freight trucking services (buyers' consolidation, multi-countries consolidation, DC bypass, regional distribution center, freight and PO/vendor management, vendor managed inventory, direct store delivery, quality inspection, customs brokerage, return material authorization, and last minute customization; and international freight forwarding services comprise sea and air freight, break bulk, container freight station, LCL and FCL, garment-on-hangers, and customs brokerage; records management services, including document and media storage, digital imaging, Web ordering and tracking, confidential document disposal, and on-site viewing; and transportation, distribution, trading, merchandising, and tank solution)"
"Ford-Gonzales","Oceanus","Entity.Organization.Company",5106.67,"Unknown"
"Ford-Morgan","Uzifrica","Entity.Organization.FishingCompany",95139.45,"Fish and seafood products"
"Ford-Williams","Novarctica","Entity.Organization.Company",5869.12,"Unknown"
"Foster Group","Uzifrica","Entity.Organization.Company",48710.98,"Adhesives, sealants, primers, cleaners and liquid coatings"
"Foster Inc","Uzifrica","Entity.Organization.Company",18266.67,"Safety critical services"
"Foster LLC","Oceanus","Entity.Organization.FishingCompany",12323.31,"Fish and seafood products"
"Foster and Sons","Oceanus","Entity.Organization.Company",10616.11,"Manufacture and sale of complete passenger automobiles"
"Foster, Montgomery and Alexander","Naraliket","Entity.Organization.LogisticsCompany",165666.67,"Specializes in the design and development of fashion-forward footwear, apparel, and handbags/accessories to its customers across the globe; Has decades of manufacturing experience and has excelled in every category of the footwear industry; Responsible for designing and producing a widespread assortment of fashion-forward footwear from women, kids, and men's for brands and private labels; Focuses on the core products comprising best sellers' styles year-round, along with a wide variety of fashion prevailing trends has allowed it to capitalize the market; Global reputation and presence in the international market derive from its ability to balance the dynamics of market trends with its strong fashion design principles; Manages all aspects of design; production, operations and distribution in-house so it can maintain the exclusivity of its designs and provide the best possible service to its customers"
"Foster, Williams and White","Oceanus","Entity.Organization.Company",16466.67,"Unknown"
"Foster-Craig","Quornova","Entity.Organization.Company",6310.07,"Unknown"
"Foster-Day","Oceanus","Entity.Organization.Company",4986.67,"Unknown"
"Foster-Hernandez","Faraluna","Entity.Organization.FishingCompany",4694.58,"Preparing fresh and raw or cooked frozen fish and other seafoods and seafood preparations, such as soups, stews, chowders, fishcakes, crab cakes, and shrimp cakes"
"Foster-Johnson","Nalakond","Entity.Organization.Company",209553.48,"Ski and snowboard service machines/equipment, including automated, base repair and grinding, edge grinding, waxing, binding adjustment, and racing service machines; offers ski and board tuning services; provides rental software, storage and drying systems, depot and locker systems, and shop furniture; and provides accessories and spare parts, such as tuning tools, workshop accessories, tuning for feet, boot fitting, machine and rental system accessories, and storage and drying tools"
"Foster-Sanchez","Naraliket","Entity.Organization.FishingCompany",10374.79,"Related smoked, pickled and frozen seafood [source: freelance researcher]"
"Foster-Smith","Azurionix","Entity.Organization.Company",16866.67,"Custom frozen and fresh food"
"Foster-Vasquez","Novarctica","Entity.Organization.Company",16665.65,"Peeled tomatoes, cherry tomatoes, pulp tomatoes, bottled pulp tomatoes, and yellow tomatoes"
"Foster-Williams","Oceanus","Entity.Organization.Company",15466.67,"Piece goods, notions, and other dry goods"
"Fowler Inc","Mawalara","Entity.Organization.Company",16210.68,"Food preparations"
"Fowler and Sons","Novarctica","Entity.Organization.FishingCompany",10996.67,"Processing and preserving of fish and other seafood"
"Fowler, Andrews and Rodriguez","Naraliket","Entity.Organization.Company",5156.67,"Unknown"
"Fowler, Walker and King","Oceanus","Entity.Organization.FishingCompany",14129.69,"Fresh and frozen seafood"
"Fowler, Wood and Waters","Isla Solmar","Entity.Organization.Company",15666.67,"Food and household merchandise"
"Fowler-Lopez","Oceanus","Entity.Organization.Company",9286.67,"Unknown"
"Fowler-Smith","Brindisola","Entity.Organization.Company",70615.68,"Dried fruits, fruit preserves, purees, concentrates and juices"
"Fowler-Torres","Oceanus","Entity.Organization.Company",9450.74,"Unknown"
"Fowler-Wong","Oceanus","Entity.Organization.Company",124803.46,"Equipment for mineral processing, aggregate processing, pulp and paper, and agricultural industries"
"Fox Ltd","Oceanus","Entity.Organization.Company",5376.67,"Unknown"
"Fox PLC","Oceanus","Entity.Organization.Company",11804.11,"MAN diesel and gas engines, turbomachinery and after-sales service support"
"Fox and Sons","Imazam","Entity.Organization.Company",9276.41,"Unknown"
"Fox, Chapman and Stone","Isla Solmar","Entity.Organization.Company",36166.76,"Fish and seafood products (tuna, salmon, herring, shellfish, and groundfish products; and flounder fillets, cornmeal pollock strips, burger, tuna steak, frozen halibut steaks, as well as canned sockeye salmon and frozen sockeye, and crabs)"
"Fox, Simpson and Diaz","Oceanus","Entity.Organization.Company",9636.67,"Unknown"
"Fox, Stout and Anderson","Oceanus","Entity.Organization.Company",8416.67,"Unknown"
"Fox-Alvarado","Oceanus","Entity.Organization.Company",11446.67,"Unknown"
"Fox-Garcia","Oceanus","Entity.Organization.Company",11526.67,"Unknown"
"Fox-Lopez","Oceanus","Entity.Organization.FishingCompany",22066.67,"Produce and seafood products"
"Fox-Payne","Oceanus","Entity.Organization.Company",59682.01,"Clothing and footwear products"
"Fox-Williams","Oceanus","Entity.Organization.Company",10886.67,"Unknown"
"Francis Group","Mawalara","Entity.Organization.LogisticsCompany",15066.67,"Sea and coastal water transportation and other related shipping activities"
"Francis PLC","Novarctica","Entity.Organization.Company",8466.67,"Unknown"
"Francis and Sons","Osterivaria","Entity.Organization.Company",99746.13,"Gelatine"
"Francis-Allen","Mawalara","Entity.Organization.Company",7232.94,"Unknown"
"Francis-Lewis","Oceanus","Entity.Organization.Company",4736.67,"Unknown"
"Francis-Mann","Khamposa","Entity.Organization.Company",5270.93,"Unknown"
"Francis-Smith","Mawalara","Entity.Organization.Company",5956.67,"Unknown"
"Franco, Olson and Long","Faraluna","Entity.Organization.FishingCompany",34344.64,"Fresh frozen seafood; frozen value added seafood; pork and poultry products"
"Franco-Stuart","Oceanus","Entity.Organization.FishingCompany",10899.58,"Seafood and other aquatic products"
"Frank Group","Oceanus","Entity.Organization.FishingCompany",12558.43,"Preparation and packaging seafoods (Gathering and canning seafood, smoking, salting, and drying seafood, eviscerating fresh fish by removing heads, fins, scales, bones, and entrails, shucking and packing fresh shellfish, processing marine fats and oils and freezing seafood)"
"Frank, Dyer and Duran","Oceanus","Entity.Organization.Company",4916.19,"Unknown"
"Frank, Holland and Ferguson","Kondanovia","Entity.Organization.Company",99632.42,"Fish products"
"Frank, Reyes and Roman","Oceanus","Entity.Organization.Company",5370.17,"Unknown"
"Frank-Garcia","Oceanus","Entity.Organization.Company",6666.67,"Unknown"
"Franklin Group","Oceanus","Entity.Organization.Company",9557.66,"Unknown"
"Franklin LLC","Oceanus","Entity.Organization.Company",10706.67,"Unknown"
"Franklin, Gray and Sutton","Mawalara","Entity.Organization.Company",16266.67,"Manufacture of nonprecious and precious plated metal cutlery and flatware; the manufacture of nonpowered hand and edge tools; the manufacture of nonpowered handsaws; and the manufacture of saw blades, all types (including those for sawing machines); Metal kitchen utensils (except cutting-type) and pots and pans, such as cast iron skillets"
"Franklin, Gray and Wilson","Arvaros","Entity.Organization.Company",69335.74,"Management activities of a holding company"
"Franklin, Mann and White","Oceanus","Entity.Organization.Company",7380.38,"Unknown"
"Franklin, Owens and Taylor","Isla Solmar","Entity.Organization.Company",5846.67,"Unknown"
"Franklin-King","Oceanus","Entity.Organization.LogisticsCompany",64234.45,"General freight trucking services"
"Frazier Group","Oceanus","Entity.Organization.Company",5081.99,"Unknown"
"Frazier PLC","Oceanus","Entity.Organization.Company",4995.14,"Unknown"
"Frazier, Ramos and Hughes","Mawalara","Entity.Organization.Company",4926.16,"Foods such as eggs, poultry, breads and bakery products, health foods, spices, and herbs; beverages, such as wine, beer, liquor, ale, vodka, low alcohol beer and non-alcoholic beverages (cola, iced tea, lemonade, fruit punch, cappuccino, and coffee); confections and candies, and cosmetics. Moreover, the company also offers other consumer products, such as bulk dried foods, canned goods, dried cereals, car-care products, baby foods and baby-care products, breads and bakery products, books, newspapers, and cigarettes and other tobacco products"
"Frazier, Todd and Spencer","Naraliket","Entity.Organization.Company",8466.67,"Unknown"
"Frazier, Wong and Miles","Oceanus","Entity.Organization.Company",18366.67,"Less than-container load and full-container load import and export services"
"Frazier-Arellano","Novarctica","Entity.Organization.Company",9111.26,"Unknown"
"Frazier-Garcia","Korvelonia","Entity.Organization.Company",20166.67,"Aquatic animals and plants"
"Frazier-Jackson","Oceanus","Entity.Organization.LogisticsCompany",16207.16,"Handles domestic air and trucking services, and international air and ocean cargo for imports as well as exports; Turnkey logistics solutions, such as: packaging, crating, warehousing as well as web-based inventory management, booking, tracking and tracing"
"Frederick, Porter and Ross","Nalakond","Entity.Organization.FishingCompany",43166.67,"Fishing and drying of cod fish, coastal trawling; Foodstuffs"
"Freeman Group","Oceanus","Entity.Organization.Company",40338.51,"Specialty food products"
"Freeman Inc","Arvaros","Entity.Organization.Company",112331.77,"Concept Studies; System Development; PKO Studies; Sounds Design / Phycho Acoustics; Energy Management; Calculation Simulation; Material Characterization; and Statistic Analysis"
"Freeman LLC","Mawalara","Entity.Organization.Company",98866.67,"Aquatic products"
"Freeman and Sons","Quornova","Entity.Organization.Company",53163.78,"Die-casting of zinc alloys"
"Freeman, Holloway and Ramsey","Oceanus","Entity.Organization.Company",5656.47,"Unknown"
"Freeman, Lopez and Reed","Marifada","Entity.Organization.Company",114528.9,"Of Icelandic fish products"
"Freeman, Morgan and Miller","Mawalara","Entity.Organization.Company",7050.09,"Unknown"
"Freeman, Obrien and Cunningham","Oceanus","Entity.Organization.Company",7786.12,"Unknown"
"Freeman, Thomas and Ward","Uzifrica","Entity.Organization.LogisticsCompany",31165.52,"Shipping, freight handling, road freight handling and warehousing services"
"Freeman-Bradley","Mawandia","Entity.Organization.Company",79122.73,"Aluminum die castings, lead die castings, brass die castings, bronze die castings, ferrous alloy die castings"
"Freeman-Ramirez","Oceanus","Entity.Organization.Company",11040.92,"Unknown"
"Freeman-Wagner","Oceanus","Entity.Organization.Company",1804666.67,"Sound solutions"
"Freeman-Williamson","Oceanus","Entity.Organization.Company",4926.67,"Unknown"
"French Group","Mawalara","Entity.Organization.FishingCompany",33795.2,"Commercial fishing activities"
"French Ltd","Isla Solmar","Entity.Organization.FishingCompany",66866.67,"Fish and seafoods products"
"French and Sons","Mawalara","Entity.Organization.LogisticsCompany",18466.67,"Specialises in the wholesale distribution of piece goods, fabrics, knitting yarns, thread and other notions, and hair accessories; Provides preparation of fibers, weaving of fabric, knitting of fabric, fabric finishing, and fabricating fabric products as well as offers basic alterations, such as hemming, taking in or letting out of fabrics, as well as lengthening or shortening services"
"French, Burns and Nguyen","Quornova","Entity.Organization.Company",112142.45,"Seals and gaskets, packing devices, hoses and tubes, coated fabrics, O-rings, and rolls and sleeves, and other related products"
"French-Johnson","Oceanus","Entity.Organization.Company",7419.35,"Steel reduction technology, steelmaking, secondary metallurgy, continuous casting, CSP technology, hot rolling mills, steckel mills, tube and pipe, long products, cold rolling mills, process lines, furnace technology, electrics and automation, environmental technology, and ecoplants"
"French-Thompson","Novarctica","Entity.Organization.Company",17566.67,"Standard floors, modulate floors or inlaid floors; inlaid wall claddings, backlit wall claddings and standard open book wall claddings; inlaid or plain marble borders; staircases of any complexity; bathrooms and kitchen of any complexity; hotel and boutique logo; fireplaces; columns; tables; outdoor floorings and pavings; cut to size floorings and pavings for interiors, outdoor and pools; artistic mosaic; outdoor seats; and design objects; Floor coverings"
"Frey Inc","Oceanus","Entity.Organization.FishingCompany",7286.67,"Seafoods and vegetables as well as fruits"
"Frey, Mann and Sullivan","Mawalara","Entity.Organization.Company",6593.09,"Unknown"
"Frey-Cook","Naraliket","Entity.Organization.Company",4773.45,"Unknown"
"Frey-Diaz","Kondanovia","Entity.Organization.Company",5216.67,"Unknown"
"Friedman PLC","Oceanus","Entity.Organization.Company",10706.67,"Unknown"
"Friedman, Gibson and Garcia","Mawandia","Entity.Organization.Company",16366.67,"Grocery products (Canned and frozen foods, milk, fresh fruits and vegetables, fresh and prepared meats, fish, poultry and poultry products); Other household products (alcohol, household cleaning products, medicine, and clothes)"
"Friedman, Grant and Ferguson","Kondanovia","Entity.Organization.FishingCompany",397769.7,"Atlantic salmon and Rainbow trout"
"Friedman-Becker","Quornova","Entity.Organization.Company",12505.04,"Pharmaceuticals and medicines"
"Friedman-Olson","Oceanus","Entity.Organization.LogisticsCompany",28391.44,"Insoles for shoes, as well as the wholesale trade and distribution of shoe accessories"
"Frost and Sons","Mawalara","Entity.Organization.Company",140516.35,"Brushes and hair and beauty care accessories"
"Frost, Young and Jones","Naraliket","Entity.Organization.Company",12176.67,"Unknown"
"Frost-Powell","Azurionix","Entity.Organization.Company",143622.33,"Intermediates, such as dye-intermediates, fast bases, pharmaceuticals intermediates, and agro intermediates; agrochemical, including pesticides, herbicides and fungicides; and pharmaceuticals, such as bulk drugs and formulations; Ethyl formate, methyl formate, formic acid (99 percent minimum), aluminium chloride hexahydrate, chloral, 3-nitrophthalonitrile, chloroacetylechloride, and 3-nitrophthalic acid"
"Fry Ltd","Novarctica","Entity.Organization.FishingCompany",50166.67,"Seafood"
